"","Business","addresses","Zip.Code","Care.Type","long","lat","geoAddress"
"1","Magna Recreation Child Care Center","3270 South 8400 West, Magna, Utah",84044,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"2","Lesly's Friends Child Care","1144 West Lafayette Drive, Salt Lake City, Utah",84116,"Family Licensed",-111.923997,40.7847347,"1144 lafayette dr, salt lake city, ut 84116, usa"
"3","Family, Friends & Neighbor","97 W Princeton Dr, Midvale, Utah",84047,"Family, Friends & Neighbor",-111.8946499,40.5988649,"97 princeton dr, midvale, ut 84047, usa"
"4","Family, Friends & Neighbor","3514 S Lilloet St, West Valley City, Utah",84120,"Family, Friends & Neighbor",-112.009742,40.696225,"3514 lilloet st, west valley city, ut 84120, usa"
"5","Residential Certified","3993 S West Temple, Salt Lake City, Utah",84107,"Residential Certified",-111.8939667,40.6851641,"3993 s w temple, millcreek, ut 84107, usa"
"6","Family Licensed","5115 South 1045 East, Holladay, Utah",84117,"Family Licensed",-111.8617351,40.658398,"5115 s 1045 e, salt lake city, ut 84117, usa"
"7","University Kids Learning Center","545 Guardsman Way, Salt Lake City, Utah",84108,"Center Licensed",-111.8433972,40.7571064,"545 guardsman way, salt lake city, ut 84108, usa"
"8","Family, Friends & Neighbor","3783 S. 700 W., West Valley City, Utah",84119,"Family, Friends & Neighbor",-111.9110576,40.6897504,"3783 s 700 w, west valley city, ut 84119, usa"
"9","Family Licensed","150 E Garden Ave, South Salt Lake, Utah",84115,"Family Licensed",-111.8864753,40.7072243,"150 garden ave, south salt lake, ut 84115, usa"
"10","Family Licensed","3146 West Jennifer Dee Circle, Riverton, Utah",84065,"Family Licensed",-111.9663655,40.536477,"3146 jennifer dee cir, riverton, ut 84065, usa"
"11","Midvale Community Building Community","695 West Center Street, Midvale, Utah",84047,"Exempt Afterschool Program",-111.9099831,40.6103091,"695 w center st, midvale, ut 84047, usa"
"12","Alicia's Daycare","6275 S.Dewdrops Drive, West Jordan, Utah",84081,"Family Licensed",-112.0214717,40.6372257,"6275 dewdrops dr, west jordan, ut 84081, usa"
"13","Montessori of Sandy","181 East 8960 South, Sandy, Utah",84070,"Center Licensed",-111.8847397,40.5890533,"181 e 8960 s, sandy, ut 84070, usa"
"14","Little Acre Daycare","12530 South 3450 West, Riverton, Utah",84065,"Family Licensed",-111.9734682,40.5237569,"12530 s 3450 w, riverton, ut 84065, usa"
"15","Jackson After School Program","750 West 200 North, Salt Lake City, Utah",84116,"Exempt Afterschool Program",-111.9127563,40.7747498,"750 w 200 n, salt lake city, ut 84116, usa"
"16","Hillside Middle School","1825 S Nevada St., Salt Lake City, Utah",84108,"Registered Teen Program",-111.8234015,40.7312762,"1825 e nevada st, salt lake city, ut 84108, usa"
"17","West High School","241 N 300 W, Salt Lake City, Utah",84103,"Registered Teen Program",-111.900351,40.7747787,"241 n 300 w, salt lake city, ut 84103, usa"
"18","Bryant Middle School","40 South 800 East, Salt Lake City, Utah",84102,"Registered Teen Program",-111.868484,40.76747,"40 s 800 e, salt lake city, ut 84102, usa"
"19","Deynaba Alagaba","1448 N Mandalay Rd, Salt Lake City, Utah",84116,"Residential Certified",-111.94519,40.801282,"1448 mandalay rd w, salt lake city, ut 84116, usa"
"20","Here We Grow","12243 South 700 West, Draper, Utah",84020,"Center Licensed",-111.9098388,40.5283484,"12243 s 700 w, draper, ut 84020, usa"
"21","Luisa's Family Daycare","4400 South 500 East, Murray, Utah",84107,"Family Licensed",-111.877322,40.675863,"4400 s 500 e, murray, ut 84107, usa"
"22","Raquel's Daycare","4867 W Odell Drive, West Valley City, Utah",84120,"Family Licensed",-112.007243,40.6946889,"4867 odell dr, west valley city, ut 84120, usa"
"23","Promise South Salt Lake - Hser Ner Moo Center","479 E 2250 S, Salt Lake City, Utah",84115,"Exempt Afterschool Program - DWS Approved",-111.8772293,40.7216295,"479 e 2250 s, south salt lake, ut 84115, usa"
"24","Love Daycare","10881 Topview Road, South Jordan, Utah",84095,"Family Licensed",-111.995507,40.553759,"10881 topview rd, south jordan, ut 84095, usa"
"25","Murray Library","166 E 5300 S, Murray, Utah",84107,"Exempt Center",-111.8863943,40.6556811,"166 e 5300 s, murray, ut 84107, usa"
"26","SLCAP Head Start- James R. Russell Center","1240 North American Beauty Drive, Salt Lake City, Utah",84116,"Center Licensed",-111.9211122,40.7957864,"1240 american beauty dr, salt lake city, ut 84116, usa"
"27","Star Brite Kids","1180 East 10600 South, Sandy, Utah",84094,"Center Licensed",-111.8570294,40.5584053,"1180 10600 s, sandy, ut 84094, usa"
"28","Residential Certified","1175 E Carmelita Dr, Salt Lake City, Utah",84106,"Residential Certified",-111.857569,40.693349,"1175 carmelita dr s, millcreek, ut 84106, usa"
"29","Magna Elementary Afterschool Program","8500 West 3100 South, Magna, Utah",84044,"Exempt Afterschool Program",-112.0950052,40.7040224,"8500 w 3100 s, magna, ut 84044, usa"
"30","ABC Great Beginnings-South Jordan","724 West Shields Lane, South Jordan, Utah",84095,"Center Licensed",-111.9111727,40.5716789,"724 shields ln, south jordan, ut 84095, usa"
"31","After School Program at Evergreen Jr. High","3401 S 200 E, Salt Lake City, Utah",84109,"Exempt Afterschool Program",-111.88537,40.697506,"3401 s 200 e, south salt lake, ut 84115, usa"
"32","Discovery Bay Daycare","248 East 13800 South, Draper, Utah",84020,"Center Licensed",-111.883009,40.5001788,"248 13800 s, draper, ut 84020, usa"
"33","Summit Academy Preschool","1225 E 13200 S, Draper, Utah",84020,"Exempt Center - Schoolbased",-111.8555502,40.5122146,"1225 13200 s, draper, ut 84020, usa"
"34","Family Licensed","2961 W Minuet Ave, West Valley City, Utah",84119,"Family Licensed",-111.963133,40.682975,"2961 minuet ave, west valley city, ut 84119, usa"
"35","Arias Family Child Care","11599 S Country Crossing Rd, South Jordan, Utah",84009,"Family Licensed",-111.9913928,40.5405251,"11599 country crossing rd, south jordan, ut 84095, usa"
"36","I Care Daycare","451 East Granite Avenue, South Salt Lake City, Utah",84115,"Family Licensed",-111.8784993,40.7037357,"451 e granite ave, south salt lake, ut 84115, usa"
"37","My Child Care Academy","13302 Herriman Rose Blvd., Herriman, Utah",84096,"Family Licensed",-112.0170266,40.5101321,"13302 herriman rose blvd, herriman, ut 84096, usa"
"38","Family Licensed","5345 South Knollcrest Street, Murray, Utah",84107,"Family Licensed",-111.880343,40.654929,"5345 knollcrest st, murray, ut 84107, usa"
"39","Oquirrh Hills Elementary School","5241 South 4280 West, Salt Lake City, Utah",84118,"Exempt Afterschool Program",-111.9931484,40.6555681,"5241 s 4280 w, kearns, ut 84118, usa"
"40","Bennion Learning Center","3337 West 6200 South, Taylorsville, Utah",84129,"Center Licensed",-111.970576,40.6383528,"3337 w 6200 s, salt lake city, ut 84129, usa"
"41","Residential Certified","1484 West 3500 South, West Valley City, Utah",84119,"Residential Certified",-111.933841,40.69842,"1484 w 3500 s, west valley city, ut 84119, usa"
"42","Residential Certified","2532 W Morning Dove Cir, West Valley City, Utah",84119,"Residential Certified",-111.9546,40.70013,"2532 morning dove cir, west valley city, ut 84119, usa"
"43","L'Emmanuel Child Care","3890 S Cheryl Street, West Valley City, Utah",84119,"Family Licensed",-111.956053,40.687208,"3890 s cheryl st, west valley city, ut 84119, usa"
"44","Creative Imaginations","4890 South 4095 West, Taylorsville, Utah",84118,"Family Licensed",-111.989118,40.6630449,"4890 s 4095 w, kearns, ut 84118, usa"
"45","Family Licensed","336 West 500 North, Salt Lake City, Utah",84103,"Family Licensed",-111.9008028,40.7804924,"336 w 500 n, salt lake city, ut 84103, usa"
"46","Let Me Shine Christian Playschool and Preschool","1070 South Foothill Drive, Salt Lake City, Utah",84108,"Center Licensed",-111.8315544,40.7458508,"1070 foothill dr, salt lake city, ut 84108, usa"
"47","Neli's Daycare","4179 S  Alice Way, West Valley City, Utah",84119,"Family Licensed",-111.963712,40.6802138,"4179 w alice way, west valley city, ut 84119, usa"
"48","Lois Banks Day Care","4537 Wander Lane, Holladay, Utah",84117,"Family Licensed",-111.816533,40.672536,"4537 s wander ln, holladay, ut 84117, usa"
"49","Eccles ECD Lab School (SLCC Child Dev. Ctr.)","4600 South Redwood Road, Salt Lake City, Utah",84130,"Center Licensed",-111.9472654,40.6762837,"facilities crafts shops, 4600 s redwood rd, salt lake city, ut 84123, usa"
"50","Family, Friends & Neighbor","1786 W. Shannon Cir, Salt Lake City, Utah",84116,"Family, Friends & Neighbor",-111.9419496,40.7790493,"1786 shannon cir, salt lake city, ut 84116, usa"
"51","Family Day Care","1253 West Bateman place, West Jordan, Utah",84084,"Family Licensed",-111.92784,40.626537,"1253 bateman pl, west jordan, ut 84084, usa"
"52","Second Avenues Preschool, The","91 North R Street, Salt Lake City, Utah",84103,"Center Licensed",-111.8640747,40.771544,"91 n st e, salt lake city, ut 84103, usa"
"53","Family Licensed","1472 West Mango Road, Murray, Utah",84123,"Family Licensed",-111.933556,40.682296,"1472 mango rd, taylorsville, ut 84123, usa"
"54","Alta Children's Center","10520 E Day Lodge Rd, Alta, Utah",84092,"Hourly Center Licensed",-111.6287756,40.5908184,"10520 e day lodge rd, alta, ut 84092, united states"
"55","Smart Kids - Redwood","4995 South Redwood Road, Taylorsville, Utah",84123,"Center Licensed",-111.9380214,40.6604859,"4995 s redwood rd, taylorsville, ut 84123, usa"
"56","Family Licensed","4500 West 4895 South, Kearns, Utah",84118,"Family Licensed",-111.99834,40.663096,"4500 w 4895 s, kearns, ut 84118, usa"
"57","Esperanza After School Program","4956 W 3500 S, West Valley City, Utah",84120,"Exempt Afterschool Program - DWS Approved",-112.0090597,40.6979024,"4956 w 3500 s, west valley city, ut 84120, usa"
"58","Family, Friends & Neighbor","3273 W Montrone Dr, West Valley City, Utah",84119,"Family, Friends & Neighbor",-111.969269,40.706378,"3273 montrone dr, west valley city, ut 84119, usa"
"59","Family, Friends & Neighbor","859 W 700 N, Salt Lake City, Utah",84116,"Family, Friends & Neighbor",-111.9159757,40.7842379,"859 w 700 n, salt lake city, ut 84116, usa"
"60","Redeemer Lutheran","1955 E Stratford Ave, Salt Lake City, Utah",84106,"Exempt Afterschool Program",-111.8350871,40.7157174,"1955 stratford ave s, salt lake city, ut 84106, usa"
"61","Ariadna Daycare","11856 South Oakridge, Sandy, Utah",84094,"Family Licensed",-111.862053,40.5359399,"11856 oakridge rd, sandy, ut 84094, usa"
"62","Salt Lake County After-School Program at Matheson Jr. High","3650 South Montclair Street, Magna, Utah",84044,"Exempt Afterschool Program",-112.077393,40.693983,"3650 montclair st, magna, ut 84044, usa"
"63","Ann's Day Care","332 West 500 North, Salt Lake City, Utah",84103,"Family Licensed",-111.9006798,40.7804721,"332 w 500 n, salt lake city, ut 84103, usa"
"64","Residential Certified","1332 West Crystal Avenue, West Valley City, Utah",84119,"Residential Certified",-111.9297704,40.7145039,"1332 w 2590 s, west valley city, ut 84119, usa"
"65","Early Scholars","4703 S 1175 W, Taylorsville, Utah",84123,"Exempt In Home",-111.924964,40.667362,"4703 1175 w, taylorsville, ut 84123, usa"
"66","Family, Friends & Neighbor","1583 E Sego Lily Dr, Sandy, Utah",84092,"Family, Friends & Neighbor",-111.844944,40.5643273,"1583 east sego lily drive, sandy, ut 84092, usa"
"67","Granite Park Jr. High","3031 South 200 East, Salt Lake City, Utah",84115,"Exempt Afterschool Program",-111.884242,40.703804,"3031 s 200 e, south salt lake, ut 84115, usa"
"68","Family Licensed","4952 South 4015 West, Taylorsville, Utah",84129,"Family Licensed",-111.987228,40.661612,"4952 4015 w, kearns, ut 84118, usa"
"69","Berensen and Associates","11341 South Berg Hollow Lane, South Jordan, Utah",84095,"Family Licensed",-111.9137651,40.5453556,"11341 berg hollow ln, south jordan, ut 84095, usa"
"70","Happy Hands Preschool","4144 W Yorkshire Dr, South Jordan, Utah",84009,"Exempt In Home",-111.9898294,40.576788,"4144 yorkshire dr, south jordan, ut 84095, usa"
"71","Residential Certified","3907 South 6620 West, West Valley City, Utah",84128,"Residential Certified",-112.0488413,40.6866731,"3907 s 6620 w, west valley city, ut 84128, usa"
"72","Family Licensed","8859 South 280 East, Sandy, Utah",84070,"Family Licensed",-111.8818717,40.5905216,"8859 s 280 e, sandy, ut 84070, usa"
"73","TJ's Daycare","3848 West Sage Rim Cove, South Jordan, Utah",84095,"Family Licensed",-111.9826042,40.5626567,"3848 sage rim cove, south jordan, ut 84095, usa"
"74","Miss Amy's Day Care","940 West Walden Meadows Drive, Murray, Utah",84123,"Family Licensed",-111.91793,40.652023,"940 walden meadows dr, murray, ut 84123, usa"
"75","Family, Friends & Neighbor","705 S Redwood Rd, Salt Lake City, Utah",84104,"Family, Friends & Neighbor",-111.936638,40.753957,"705 s redwood rd, salt lake city, ut 84104, usa"
"76","Small World Child Care-West Jordan","7908 South Old Bingham Highway, West Jordan, Utah",84088,"Center Licensed",-111.970981,40.6076964,"7908 old bingham hwy, west jordan, ut 84088, usa"
"77","Family, Friends & Neighbor","5769 Marco Rd, Salt Lake City, Utah",84121,"Family, Friends & Neighbor",-111.85944,40.646415,"5769 marco rd, murray, ut 84121, usa"
"78","Devlin's Child Development Center-Sandy","9310 South State Street, Sandy, Utah",84070,"Center Licensed",-111.8918186,40.5822823,"9310 state st, sandy, ut 84070, usa"
"79","Family Licensed","4709 W Black Powder Dr, Herriman, Utah",84096,"Family Licensed",-112.003174,40.529072,"4709 w black powder dr, herriman, ut 84096, usa"
"80","Family, Friends & Neighbor","9902 S Blossom Dr, Sandy, Utah",84092,"Family, Friends & Neighbor",-111.852644,40.571548,"9902 blossom dr, sandy, ut 84092, usa"
"81","Family Licensed","3903 South 4840 West, West Valley City, Utah",84120,"Family Licensed",-112.006457,40.6868448,"3903 s 4840 w, west valley city, ut 84120, usa"
"82","South Kearns Afterschool Program","170 W Price Ave, Salt Lake City, Utah",84115,"Exempt Afterschool Program - DWS Approved",-111.8962681,40.6926064,"170 price ave, south salt lake, ut 84115, usa"
"83","Family, Friends & Neighbor","4987 W Bridle Creek Dr, West Jordan, Utah",84081,"Family, Friends & Neighbor",-112.0098222,40.6164899,"4987 bridle creek dr, west jordan, ut 84081, usa"
"84","Panda Child Care","581 North Redwood Road, Salt Lake City, Utah",84116,"Center Licensed",-111.9396887,40.7822764,"581 n redwood rd, salt lake city, ut 84116, usa"
"85","Hunter High Preschool Lab","4200 S 5600 W, West Valley City, Utah",84120,"Exempt Center - Schoolbased",-112.024288,40.679755,"4200 s 5600 w, west valley city, ut 84120, usa"
"86","Puddle Jumpers Child Development","802 North 2200 West, Salt Lake City, Utah",84116,"Center Licensed",-111.9528084,40.7868974,"802 2200 w, salt lake city, ut 84116, usa"
"87","Tender Loving Care Teaching Learning Center","1035 West Indiana Avenue, Salt Lake City, Utah",84104,"Center Licensed",-111.921736,40.750983,"1035 w indiana ave, salt lake city, ut 84104, usa"
"88","Heather Brown's Daycare","1751 South 500 East, Salt Lake City, Utah",84105,"Family Licensed",-111.8765084,40.7322836,"1751 s 500 e, salt lake city, ut 84105, usa"
"89","Mary's Day Care","6074 W 6200 S, Kearns, Utah",84118,"Family Licensed",-112.035918,40.6387829,"6074 w 6200 s, kearns, ut 84118, usa"
"90","Residential Certified","3228 West 10755 South, South Jordan, Utah",84095,"Residential Certified",-111.9684348,40.555691,"3228 w 10755 s, south jordan, ut 84095, usa"
